7z, application/x-7z-compressed
bz, application/x-bzip
bz2, application/x-bzip2
zip, application/zip
exe, application/x-msdownload
txt, text/plain
html, text/html
css, text/css
csv, text/csv
ics, text/calendar
js, application/javascript
json, application/json
jpeg, image/jpeg
jpg, image/jpeg
xls, application/vnd.ms-excel
xlsx, application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
doc, application/msword
docx, application/vnd.openxmlformats-officedocument.wordprocessingml.document
ppt, application/vnd.ms-powerpoint
vsd, application/vnd.visio
mid, audio/midi
mpeg, video/mpeg
mpg, video/mpeg
mp4, video/mp4
ogx, application/ogg
oga, audio/ogg
ogv, video/ogg
psd, image/vnd.adobe.photoshop
pgp, application/pgp-encrypted
qt, video/quicktime
rar, application/x-rar-compressed
rtx, text/richtext
svg, image/svg+xml
au, audio/basic
tiff, image/tiff
tar, application/x-tar
wav, audio/x-wav
wsdl, application/wsdl+xml
xhtml, application/xhtml+xml
xml, application/xml
xslt, application/xslt+xml
yaml, text/yaml
